"도형번호","지형지물부호","관리번호","관리부서","CCTV구분","CCTV관리번호","개소명","행정읍면동","법정읍면동","법정읍면동리","번지","통신망","카메라 구분","위도(degree)","경도(degree)","X좌표","Y좌표","카메라 수","동/서","비고"
4202,AE134,1166,스마트도시과,CTV001,신왕-01177,신왕리655-2,"41590400","41590400","4159040021","655-2",KT, ,"37.083895","126.942979","194930.029196899","498324.978997671","1",CTM002, 
4203,AE134,1167,스마트도시과,CTV001,신왕-01178,신왕리676-3,"41590400","41590400","4159040021","676-3",KT, ,"37.081555","126.944214","195039.685271687","498065.22024998","1",CTM002, 
4205,AE134,3461,스마트도시과,CTV001,신왕-03505,신왕리554,"41590400","41590400","4159040021","554",KT, ,"37.085065","126.950984","195641.830666667","498454.476407738","1",CTM002, 
4206,AE134,3743,스마트도시과,CTV001,신왕-3757,신왕리640-12-검지(20차),"41590400","41590400","4159040021","640-12",KT, ,"37.08127","126.945952","195194.19265744","498033.521855808","2",CTM002, 
4207,AE134,3744,스마트도시과,CTV001,신왕-3758,신왕리109-5-검지(20차),"41590400","41590400","4159040021","109-5",자가망, ,"37.076553","126.961207","196550.41804689","497509.360689948","1",CTM002, 
4208,AE134,4461,스마트도시과,CTV001,신왕-04478,신왕리681-3(신왕-04478),"41590400","41590400","4159040021","681-3",KT, ,"37.080808","126.944383","195054.711109091","497982.382473679","4",CTM002, 
4209,AE134,4505,스마트도시과,CTV001,신왕-04522,양감행정복지센터,"41590400","41590400","4159040021","1994",자가망, ,"37.08197","126.945014","195110.862947423","498111.27065618","1",CTM002, 
4210,AE134,1069,스마트도시과,CTV001,사창-01080,사창초교앞사거리(사창-01080),"41590400","41590400","4159040022","427-10",자가망, ,"37.090947","126.97241","197547.095986117","499106.473122666","5",CTM002, 
4211,AE134,1073,스마트도시과,CTV001,사창-01084,사창리310-1,"41590400","41590400","4159040022","310-1",KT, ,"37.091162","126.975927","197859.782842766","499130.248666632","1",CTM002, 
4212,AE134,1083,스마트도시과,CTV001,사창-01094,청아판지팩앞,"41590400","41590400","4159040022","495-3",자가망, ,"37.093438","126.971578","197473.209276177","499382.944549984","3",CTM002, 
4213,AE134,1084,스마트도시과,CTV001,사창-01095,초록산산림욕장내,"41590400","41590400","4159040022","810-9",자가망, ,"37.092226","126.954569","195960.999943966","499249.025300217","1",CTM002, 
4214,AE134,1092,스마트도시과,CTV001,사창-01103,사창리91-1,"41590400","41590400","4159040022","91-1",자가망, ,"37.107999","126.969002","197244.723454557","500998.989184975","1",CTM002, 
4215,AE134,1123,스마트도시과,CTV001,사창-01134,사창리131-1,"41590400","41590400","4159040022","131-1",KT, ,"37.103552","126.971276","197446.700101468","500505.399217142","1",CTM002, 
4216,AE134,1124,스마트도시과,CTV001,사창-01135,사창리151-2(155-1),"41590400","41590400","4159040022","151-2",KT, ,"37.10055","126.972518","197557.006103846","500172.205912797","1",CTM002, 
4217,AE134,1125,스마트도시과,CTV001,사창-01136,사창리262,"41590400","41590400","4159040022","262",KT, ,"37.094988","126.975274","197801.838198134","499554.870723913","1",CTM002, 
4218,AE134,1126,스마트도시과,CTV001,사창-01137,사창리400-1,"41590400","41590400","4159040022","400-1",KT, ,"37.091295","126.97114","197434.197672172","499145.127482512","1",CTM002, 
4219,AE134,1127,스마트도시과,CTV001,사창-01138,사창리524-3,"41590400","41590400","4159040022","524-3",KT, ,"37.096461","126.969359","197276.042534137","499718.496682567","1",CTM002, 
4220,AE134,1128,스마트도시과,CTV001,사창-01139,사창리528,"41590400","41590400","4159040022","528",KT, ,"37.096667","126.96892","197237.023306133","499741.371129467","1",CTM002, 
4222,AE134,1130,스마트도시과,CTV001,사창-01141,사창리598-2(582-4),"41590400","41590400","4159040022","598-2",KT, ,"37.095913","126.967093","197074.576089367","499657.74732461","1",CTM002, 
4223,AE134,1131,스마트도시과,CTV001,사창-01142,사창리670-1,"41590400","41590400","4159040022","670-1",KT, ,"37.103489","126.963247","196732.992982399","500498.653515539","1",CTM002, 
