도형번호,지형지물부호,관리번호,관리기관,행정읍면동,도엽번호,설치일자,정류장종류,정류장명,정류장유형,대장초기화여부,비고,도로구간번호,
687,AE260,99920150014,MNG259,41590256,376161198C,1990-01-01,AEE000, ,STT000,1, ,99920150512,
688,AE260,2.06E+11,MNG259,41590000,377130709D,2016-01-01,AEE003, ,STT002,1, ,26307090511,
689,AE260,2.06E+11,MNG259,41590000,377130289A,2016-01-01,AEE003,한미약품,STT002,1, ,26302890593,
690,AE260,2.06E+11,MNG259,41590000,377130289B,2016-01-01,AEE003, ,STT002,1, ,26302890586,
691,AE260,2.06E+11,MNG259,41590000,377130289A,2016-01-01,AEE003,한미약품,STT002,1, ,26302890593,
692,AE260,8.22E+13,MNG259,41590350,376150975A,2017-12-31,AEE003,화남산단삼거리,STT001,1,백미-송교간 도로확포장공사 GIS DB 구축용역,8.22E+13,
693,AE260,8.22E+13,MNG259,41590350,376150973B,2017-12-31,AEE003,개경촌,STT001,1,백미-송교간 도로확포장공사 GIS DB 구축용역,8.22E+13,
694,AE260,8.22E+13,MNG259,41590350,376150973B,2017-12-31,AEE003,개경촌,STT002,1,백미-송교간 도로확포장공사 GIS DB 구축용역,8.22E+13,
695,AE260,8.22E+13,MNG259,41590350,376150975A,2017-12-31,AEE003,화남산단삼거리,STT002,1,백미-송교간 도로확포장공사 GIS DB 구축용역,8.22E+13,
696,AE260,8.21E+13,MNG259,41590140,376122269C,2020-01-01,AEE003, ,STT001,1, ,8.21E+13,
697,AE260,8.21E+13,MNG259,41590140,376122257D,2020-01-01,AEE003, ,STT002,1, ,8.21E+13,
698,AE260,2.15E+11,MNG259,41590600,377130710D,2014-01-01,AEE003,한화꿈에그린,STT002,1, ,21530710059,
699,AE260,2.15E+11,MNG259,41590588,377130710D,2014-01-01,AEE003,한화꿈에그린,STT002,1, ,21530710081,
700,AE260,2.15E+11,MNG259,41590588,377130811A,2014-01-01,AEE003,한화꿈에그린,STT002,1, ,21530801073,
701,AE260,2.15E+11,MNG259,41590588,377130811A,2014-01-01,AEE003,한화꿈에그린,STT002,1, ,21530801073,
702,AE260,2.15E+11,MNG259,41590588,377130801D,2014-01-01,AEE003,"한화,호반",STT002,1, ,21530801055,
703,AE260,2.15E+11,MNG259,41590588,377130801D,2014-01-01,AEE003,"한화,호반",STT002,1, ,21530801055,
704,AE260,2.15E+11,MNG259,41590588,377130803C,2014-01-01,AEE003,"호반베르디움, 롯데캐",STT002,1, ,21530803052,
705,AE260,2.15E+11,MNG259,41590588,377130803C,2014-01-01,AEE003,"호반베르디움, 롯데캐",STT002,1, ,21530803052,
706,AE260,2.15E+11,MNG259,41590588,377130803B,2014-01-01,AEE003,대우푸르지오,STT002,1, ,21530803015,
707,AE260,2.15E+11,MNG259,41590588,377130804A,2014-01-01,AEE003,반도유보라,STT002,1, ,21530804014,
708,AE260,2.15E+11,MNG259,41590588,377130804B,2014-01-01,AEE003,호반베르디움,STT002,1, ,21530394010,
709,AE260,4.22E+13,MNG259,41590370,376161753D,2017-12-01,AEE003,장안우체국,STT001,1,기아자동차로 보도설치공사 GIS DB 구축용역,4.22E+13,
710,AE260,99920150150,MNG259,41590370,376161753D,1990-01-01,AEE000, ,STT000,1, ,4.22E+13,
711,AE260,2.22E+13,MNG259,41590410,377130672A,1900-01-01,AEE004,놀이터앞,STT001,1,정남면 가장로 외 1개소 보도설치공사 GIS DB 구축용역,1331031140,
712,AE260,2.15E+11,MNG259,41590588,377130394D,2014-01-01,AEE003,KCC스위첸,STT002,1, ,21530394009,
713,AE260,2.15E+11,MNG259,41590588,377130394A,2014-01-01,AEE003,모아미래도KCC스위첸,STT002,1, ,21530394071,
714,AE260,9.99E+11,MNG259,41590330,376160632C,2016-09-01,AEE003, ,STT002,1,경기화성바이오밸리,99916122055,
715,AE260,9.99E+11,MNG259,41590330,376160632C,2016-09-01,AEE003, ,STT001,1,경기화성바이오밸리,99916122054,
