도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,대장초기화여부,납품업체,로딩일자
17868,AE915,507203,41590550,377130241D,MNG244,1, ,
17869,AE914,201859,41590259,376161442B,MNG244,1, ,
17870,AE914,503429,41590550,377130234C,MNG244,1, ,
17871,AE915,301008,41590340,376150578A,MNG244,1, ,
17872,AE914,504477,41590530,377130198C,MNG244,1, ,
17873,AE915,105092,41590253,376160597D,MNG244,1, ,
17874,AE914,103316,41590253,376160576A,MNG244,1, ,
17875,AE915,506754,41590570,377130183C,MNG244,1, ,
17876,AE914,200359,41590360,376160848D,MNG244,1, ,
17877,AE915,203554,41590400,376161939B,MNG244,1, ,
17878,AE914,107333,41590253,376160958A,MNG244,1, ,
17879,AE914,100976,41590253,376160448C,MNG244,1, ,
17880,AE914,108503,41590410,376161075D,MNG244,1, ,
17881,AE914,503226,41590550,377130223D,MNG244,1, ,
17882,AE914,109801,41590253,376160513C,MNG244,1, ,
17883,AE916,500219,41590570,377130154D,MNG244,1, ,
17884,AE914,426217,41590253,376160551C,MNG244,1, ,
17885,AE914,426218,41590253,376160551C,MNG244,1, ,
17886,AE915,300961,41590340,376150579C,MNG244,1, ,
17887,AE914,301707,41590340,376150580C,MNG244,1, ,
17888,AE914,505190,41590410,377130673A,MNG244,1, ,
17889,AE914,505180,41590410,377130671B,MNG244,1, ,
17890,AE914,201671,41590259,376161533C,MNG244,1, ,
17891,AE915,101989,41590560,376160559C,MNG244,1, ,
17892,AE914,106201,41590253,376160927C,MNG244,1, ,
17893,AE914,202681,41590400,376162042D,MNG244,1, ,
17894,AE914,504635,41590530,377130609A,MNG244,1, ,
17895,AE914,503034,41590530,377130197B,MNG244,1, ,
17896,AE914,301469,41590340,376150577B,MNG244,1, ,
17897,AE914,820049,41590256,376161724D,MNG244,1, ,
17898,AE914,104786,41590253,376160497D,MNG244,1, ,
17899,AE914,104844,41590570,376160500C,MNG244,1, ,
17900,AE914,202460,41590400,376161939B,MNG244,1, ,
17901,AE914,503357,41590550,377130233C,MNG244,1, ,
17902,AE914,101577,41590253,376160551A,MNG244,1, ,
17903,AE914,103359,41590253,376160576B,MNG244,1, ,
17904,AE914,102658,41590560,376160567B,MNG244,1, ,
17905,AE914,103422,41590570,376160577B,MNG244,1, ,
17906,AE914,200309,41590360,376160849B,MNG244,1, ,
17907,AE914,503060,41590520,377130187D,MNG244,1, ,
17908,AE914,503945,41590550,377130251C,MNG244,1, ,
17909,AE914,100889,41590560,376160548C,MNG244,1, ,
17910,AE914,107197,41590410,376161058A,MNG244,1, ,
17911,AE914,106731,41590253,376160947B,MNG244,1, ,
17912,SB101,8.88617E+11,41590256,376161725B,MNG244,1, ,
17913,AE915,106160,41590253,376160926D,MNG244,1, ,
17914,AE916,99920151058,41590370,376161874A,MNG244,1, ,
17915,AE916,99920151060,41590370,376161873D,MNG244,1, ,
17916,AE914,106858,41590253,376160948C,MNG244,1, ,
17917,AE914,501974,41590570,377130174D,MNG244,1, ,
17918,AE914,300742,41590350,376151062A,MNG244,1, ,
17919,AE914,301095,41590340,376150569C,MNG244,1, ,
17920,AE310,301351,41590340,376150566D,MNG244,1, ,
17921,AE914,103914,41590570,376160588D,MNG244,1, ,
17922,AE914,202203,41590400,376161568A,MNG244,1, ,
17923,AE914,502611,41590570,377130183A,MNG244,1, ,
17924,AE914,504211,41590570,377130601A,MNG244,1, ,
17925,AE914,505711,41590410,377131117C,MNG244,1, ,
17926,AE916,500529,41590410,377131114A,MNG244,1, ,
17927,AE915,104277,41590253,376160596B,MNG244,1, ,
17928,AE914,107188,41590253,376160957B,MNG244,1, ,
17929,AE914,504931,41590570,377130622A,MNG244,1, ,
17930,AE914,411412,41590520,377130281A,MNG244,1, ,
17931,AE914,411413,41590520,377130281A,MNG244,1, ,
17932,AE915,508163,41590410,377131133D,MNG244,1, ,
17933,AE915,108276,41590410,376161076A,MNG244,1, ,
17934,AE914,500655,41590520,377130146A,MNG244,1, ,
17935,AE914,106825,41590410,376161048A,MNG244,1, ,
17936,AE913,5.11308E+11,41590600,377130777C,MNG244,1, ,
17937,AE914,502725,41590570,377130194A,MNG244,1, ,
17938,AE915,507039,41590550,377130241A,MNG244,1, ,
17939,AE914,99920156597,41590360,376160855B,MNG244,1, ,
17940,AE915,100581,41590253,376160544A,MNG244,1, ,
17941,AE915,108326,41590253,376160978A,MNG244,1, ,
17942,AE914,5.11308E+11,41590600,377130777A,MNG244,1, ,
17943,AE915,107997,41590410,376161063C,MNG244,1, ,
17944,AE915,103091,41590253,376160566C,MNG244,1, ,
17945,AE914,501971,41590570,377130184B,MNG244,1, ,
17946,AE914,301535,41590340,376150568C,MNG244,1, ,
17947,AE914,301534,41590340,376150568C,MNG244,1, ,
17948,AE914,301538,41590340,376150568C,MNG244,1, ,
17949,AE914,100085,41590253,376160512D,MNG244,1, ,
17950,AE914,107774,41590410,376161067D,MNG244,1, ,
13038,AE914,504598,41590530,377130608B,MNG244,1, ,
13039,AE915,109551,41590410,376161508C,MNG244,1, ,
13040,AE914,501560,41590520,377130178B,MNG244,1, ,
13041,AE914,503240,41590550,377130233B,MNG244,1, ,
13042,AE915,108851,41590410,376161086B,MNG244,1, ,
13043,AE915,108998,41590253,376160985B,MNG244,1, ,
13044,AE914,301545,41590340,376150568C,MNG244,1, ,
13045,AE914,502829,41590570,377130184D,MNG244,1, ,
13046,AE915,106231,41590410,376161028D,MNG244,1, ,
13047,AE915,107801,41590410,376161066D,MNG244,1, ,
13048,AE915,103639,41590253,376160572C,MNG244,1, ,
13049,AE914,101072,41590253,376160446D,MNG244,1, ,
13050,AE916,108693,41590253,376160975C,MNG244,1, ,
13051,AE915,506228,41590520,377130156C,MNG244,1, ,
13052,AE914,500783,41590520,377130145D,MNG244,1, ,
13053,AE915,109487,41590410,376161507B,MNG244,1, ,
13054,AE914,201314,41590259,376161423C,MNG244,1, ,
13055,AE914,107476,41590253,376160956C,MNG244,1, ,
13056,AE914,105052,41590253,376160597C,MNG244,1, ,
13057,AE914,106289,41590253,376160927D,MNG244,1, ,
13058,AE914,503652,41590550,377130150D,MNG244,1, ,
13059,AE914,505738,41590410,377131117C,MNG244,1, ,
13060,AE914,104210,41590570,376160589C,MNG244,1, ,
13061,AE915,506691,41590540,377130189B,MNG244,1, ,
13062,AE914,103731,41590570,376160578C,MNG244,1, ,
13063,AE914,505201,41590410,377130662D,MNG244,1, ,
13064,AE914,104752,41590570,376160598D,MNG244,1, ,
13065,AE914,820166,41590256,376161735A,MNG244,1, ,
13066,AE914,103424,41590560,376160577A,MNG244,1, ,
13067,AE915,100092,41590253,376160512D,MNG244,1, ,
13068,AE914,504352,41590570,377130193C,MNG244,1, ,
13069,AE914,101438,41590253,376160554A,MNG244,1, ,
13070,AE914,109797,41590410,376161538D,MNG244,1, ,
13071,AE914,426159,41590253,376160582A,MNG244,1, ,
13072,AE915,104907,41590253,376160596C,MNG244,1, ,
13073,AE914,109273,41590410,376161097A,MNG244,1, ,
13074,AE914,102757,41590253,376160566B,MNG244,1, ,
13075,AE914,502901,41590530,377130187C,MNG244,1, ,
13076,AE914,201743,41590259,376161432D,MNG244,1, ,
13077,AE914,106247,41590253,376160928D,MNG244,1, ,
13078,AE914,106338,41590253,376160938B,MNG244,1, ,
13079,AE914,501238,41590520,377130166A,MNG244,1, ,
13080,AE915,508160,41590410,377131134A,MNG244,1, ,
13081,AE914,106102,41590253,376160928B,MNG244,1, ,
13082,AE914,502921,41590530,377130198A,MNG244,1, ,
13083,AE914,106134,41590253,376160928A,MNG244,1, ,
13084,AE914,103812,41590253,376160582B,MNG244,1, ,
13085,AE914,501676,41590570,377130172C,MNG244,1, ,
