도형번호,지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,설치일자,등기구모형,광원종류,대장초기화여부,비고,도로구간번호,
2781,AI010,300180,41590350,376151062A,MNG244,1900-01-01,LSH007,LCD002,1, ,2800813004,
2782,AI010,401573,41590587,377130262A,MNG244,2006-04-01,LSH022,LCD999,1, ,2700619001,
2783,AI010,500059,41590410,377131126A,MNG244,1900-01-01,LSH007,LCD002,1,31126001,9001131109,
2784,AI010,800003,41590330,376160185D,MNG244,1900-01-01,LSH002,LCD002,1, ,9000533509,
2785,AI010,800004,41590330,376160185D,MNG244,1900-01-01,LSH002,LCD002,1, ,9000533511,
2786,AI010,500743,41590530,377130199C,MNG244,1900-01-01,LSH007,LCD002,1,30609013,2706531005,
2787,AI010,500505,41590530,377130188A,MNG244,1900-01-01,LSH007,LCD002,1,30188015,2702531001,
2788,AI010,500381,41590520,377130168D,MNG244,1900-01-01,LSH000,LCD002,1,30179051,2700931002,
2789,AI010,100418,41590253,376160565B,MNG244,1900-01-01,LSH007,LCD002,1, ,9009521001,
2790,AI010,200227,41590400,376161929A,MNG244,1900-01-01,LSH002,LCD002,1, ,1104312012,
2791,AI010,401796,41590585,377130274D,MNG244,2006-04-01,LSH022,LCD999,1, ,2702019001,
2792,AI010,401470,41590587,377130262C,MNG244,2006-04-01,LSH022,LCD999,1, ,2700619003,
2793,AI010,500103,41590410,377130672D,MNG244,1900-01-01,LSH007,LCD002,1,30682004,9000331104,
2794,AI010,100081,41590253,376160938B,MNG244,1900-01-01,LSH007,LCD002,1, ,1104311037,
2795,AI010,99920150007,41590370,376162342A,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150468,
2796,AI010,500035,41590410,376161540D,MNG244,1900-01-01,LSH007,LCD002,1,31141003,9005831127,
2797,AI010,100731,41590560,376160550C,MNG244,1900-01-01,LSH007,LCD002,1, ,3330221012,
2798,AI010,5.11E+11,41590600,377130739C,MNG244,2014-01-01,LSH999,LCD004,1,화성동탄 일반산업단지 조성공사 중 GIS구축,51130739025,
2799,AI010,500654,41590550,377130234D,MNG244,1900-01-01,LSH002,LCD002,1,30245002,1331831006,
2800,AI010,500498,41590520,377130187B,MNG244,1900-01-01,LSH002,LCD002,1,30188008,9013931003,
2801,AI010,100554,41590410,376161508C,MNG244,1900-01-01,LSH007,LCD002,1, ,9005811005,
2802,AI010,500780,41590570,377130622A,MNG244,2004-01-01,LSH007,LCD002,1,30622005,1331531009,
2803,AI010,500241,41590520,377130150C,MNG244,1999-01-01,LSH007,LCD002,1,30160009,3110431007,
2804,AI010,100092,41590253,376160958A,MNG244,1900-01-01,LSH010,LCD002,1, ,9004011002,
2805,AI010,100006,41590253,376160984D,MNG244,1900-01-01,LSH007,LCD002,1, ,9003011003,
2806,AI010,810002,41590262,376160283C,MNG244,1900-01-01,LSH002,LCD002,1, ,2300133300,
2807,AI010,810004,41590262,376160284A,MNG244,1900-01-01,LSH018,LCD002,1, ,2800233282,
2808,AI010,5.11E+11,41590600,377130739A,MNG244,2014-01-01,LSH999,LCD004,1,화성동탄 일반산업단지 조성공사 중 GIS구축,51130739029,
2809,AI010,401837,41590587,377130701B,MNG244,2006-04-01,LSH022,LCD999,1, ,9010919001,
2810,AI010,200242,41590400,376161929D,MNG244,1900-01-01,LSH999,LCD002,1, ,1104312006,
2811,AI010,500422,41590570,377130171D,MNG244,1900-01-01,LSH002,LCD002,1,30182014,2400631002,
2812,AI010,401358,41590585,377130283C,MNG244,2006-04-01,LSH022,LCD999,1, ,2803819003,
2813,AI010,401355,41590585,377130283C,MNG244,2006-04-01,LSH022,LCD999,1, ,2803919003,
2814,AI010,500150,41590520,377130137A,MNG244,1900-01-01,LSH002,LCD002,1,30137002,9009231003,
2815,AI010,500403,41590520,377130178B,MNG244,1900-01-01,LSH000,LCD002,1,30179073,2701731004,
2816,AI010,100783,41590570,376160577C,MNG244,1900-01-01,LSH007,LCD002,1, ,9002721003,
2817,AI010,100038,41590253,376160977A,MNG244,1900-01-01,LSH002,LCD002,1, ,1331011038,
2818,AI010,100043,41590253,376160447C,MNG244,1900-01-01,LSH007,LCD002,1, ,2007311008,
2819,AI010,500650,41590550,377130243B,MNG244,1900-01-01,LSH007,LCD002,1,30244005,9005631301,
2820,AI010,200266,41590400,376162031D,MNG244,1900-01-01,LSH002,LCD002,1, ,3110212004,
2821,AI010,100608,41590253,376160597D,MNG244,1900-01-01,LSH007,LCD002,1, ,9007811002,
2822,AI010,500542,41590520,377130179C,MNG244,1900-01-01,LSH000,LCD002,1,30189022,2803631001,
2823,AI010,401901,41590586,377130726A,MNG244,2006-04-01,LSH022,LCD999,1, ,2806919003,
2824,AI010,401900,41590586,377130726A,MNG244,2006-04-01,LSH022,LCD999,1, ,2806919003,
2825,AI010,500414,41590570,377130172C,MNG244,1900-01-01,LSH002,LCD002,1,30182005,2400731002,
2826,AI010,100546,41590410,376161097C,MNG244,1900-01-01,LSH007,LCD002,1, ,9005811002,
2827,AI010,500351,41590520,377130178B,MNG244,1900-01-01,LSH000,LCD002,1,30179021,2802331001,
2828,AI010,401083,41590586,377130714A,MNG244,2006-04-01,LSH022,LCD999,1, ,2805819001,
2829,AI010,100431,41590253,376160564D,MNG244,1900-01-01,LSH007,LCD002,1, ,9014921002,
2830,AI010,99920150065,41590360,376160996A,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150334,
2831,AI010,500484,41590520,377130187A,MNG244,1900-01-01,LSH007,LCD002,1,30187018,1208431029,
2832,AI010,100133,41590253,376160948A,MNG244,1900-01-01,LSH002,LCD002,1, ,1104311028,
2833,AI010,500512,41590520,377130188B,MNG244,1900-01-01,LSH007,LCD002,1,30188022,2703031004,
2834,AI010,100318,41590253,376160460D,MNG244,1900-01-01,LSH002,LCD002,1, ,2900621001,
2835,AI010,100825,41590253,376160597A,MNG244,1900-01-01,LSH000,LCD002,1, ,9002421002,
2836,AI010,100447,41590560,376160546C,MNG244,1900-01-01,LSH000,LCD002,1, ,9009221003,
2837,AI010,401656,41590585,377130267C,MNG244,2006-04-01,LSH999,LCD999,1, ,9030319001,
2838,AI010,401138,41590586,377130706D,MNG244,2006-04-01,LSH022,LCD999,1, ,2809019001,
2839,AI010,401139,41590586,377130706D,MNG244,2006-04-01,LSH022,LCD999,1, ,2809019001,
2840,AI010,500579,41590570,377130183D,MNG244,1900-01-01,LSH007,LCD002,1,30194001,9010831001,
2841,AI010,500554,41590520,377130179C,MNG244,1900-01-01,LSH000,LCD002,1,30189034,2803431001,
2842,AI010,810049,41590262,376160284A,MNG244,1900-01-01,LSH007,LCD002,1, ,2801033314,
2843,AI010,810077,41590262,376160282C,MNG244,1900-01-01,LSH002,LCD002,1, ,9000433294,
2844,AI010,810078,41590262,376160284A,MNG244,1900-01-01,LSH002,LCD002,1, ,2800133277,
2845,AI010,100584,41590570,376160598D,MNG244,1900-01-01,LSH007,LCD002,1, ,9007911003,
2846,AI010,401830,41590585,377130273D,MNG244,2006-04-01,LSH022,LCD999,1, ,2702019003,
2847,AI010,401808,41590585,377130274C,MNG244,2006-04-01,LSH022,LCD999,1, ,2702019003,
2848,AI010,401434,41590585,377130273D,MNG244,2006-04-01,LSH022,LCD999,1, ,2701819001,
2849,AI010,100141,41590253,376160918B,MNG244,1900-01-01,LSH002,LCD002,1, ,9000711001,
2850,AI010,500412,41590570,377130172C,MNG244,1900-01-01,LSH007,LCD002,1,30182002,2400731001,
2851,AI010,100280,41590253,376160541D,MNG244,1900-01-01,LSH000,LCD002,1, ,1104321008,
2852,AI010,401885,41590586,377130726A,MNG244,2006-04-01,LSH022,LCD999,1, ,2806719001,
2853,AI010,500716,41590530,377130198D,MNG244,2004-01-01,LSH007,LCD002,1,30608001,2600431008,
2854,AI010,100682,41590560,376160547B,MNG244,1900-01-01,LSH002,LCD002,1, ,9008321011,
2855,AI010,100262,41590253,376160511D,MNG244,1900-01-01,LSH002,LCD002,1, ,3110121015,
2856,AI010,500739,41590530,377130199C,MNG244,1900-01-01,LSH002,LCD002,1,30609009,2007131006,
2857,AI010,401617,41590585,377130265A,MNG244,2006-04-01,LSH021,LCD003,1, ,2705819004,
2858,AI010,401037,41590586,377130725B,MNG244,2006-04-01,LSH022,LCD999,1, ,2806719001,
2859,AI010,200234,41590400,376162025C,MNG244,1900-01-01,LSH002,LCD002,1, ,3110212022,
2860,AI010,2.12E+11,41590310,376160409C,MNG244,2013-06-01,LSH002,LCD004,1,서원말 취락지구 도로 개설공사 GISDB구축,21160409003,
2861,AI010,100719,41590560,376160559B,MNG244,1900-01-01,LSH000,LCD002,1, ,3220621020,
2862,AI010,401380,41590587,377130272A,MNG244,2006-04-01,LSH022,LCD999,1, ,2701719001,
2863,AI010,100161,41590253,376160593A,MNG244,1900-01-01,LSH007,LCD002,1, ,9000321006,
2864,AI010,100478,41590253,376160583D,MNG244,1900-01-01,LSH007,LCD002,1, ,9000421002,
2865,AI010,100054,41590253,376160497D,MNG244,1900-01-01,LSH002,LCD002,1, ,1332211021,
2866,AI010,401701,41590585,377130256A,MNG244,2006-04-01,LSH022,LCD999,1, ,2810319001,
2867,AI010,401922,41590587,377130262C,MNG244,2006-04-01,LSH022,LCD999,1, ,2701019001,
2868,AI010,401478,41590587,377130262A,MNG244,2006-04-01,LSH022,LCD999,1, ,2700519001,
2869,AI010,401570,41590587,377130262A,MNG244,2006-04-01,LSH022,LCD999,1, ,2700519001,
2870,AI010,401770,41590585,377130284A,MNG244,2006-04-01,LSH010,LCD999,1, ,2703419005,
2871,AI010,401738,41590585,377130284A,MNG244,2006-04-01,LSH022,LCD999,1, ,2702319003,
2872,AI010,500195,41590520,377130137D,MNG244,1900-01-01,LSH002,LCD002,1,30148018,3220131005,
2873,AI010,100372,41590253,376160523C,MNG244,1900-01-01,LSH007,LCD002,1, ,9006321001,
2874,AI010,5.11E+11,41590600,377130738D,MNG244,2014-01-01,LSH999,LCD004,1,화성동탄 일반산업단지 조성공사 중 GIS구축,51130738003,
2875,AI010,500376,41590520,377130178B,MNG244,1900-01-01,LSH000,LCD002,1,30179046,2701731002,
2876,AI010,100620,41590410,376161067A,MNG244,1900-01-01,LSH007,LCD002,1, ,1330911030,
2877,AI010,401883,41590586,377130726A,MNG244,2006-04-01,LSH022,LCD999,1, ,2806719001,
2878,AI010,500777,41590570,377130612C,MNG244,2004-01-01,LSH002,LCD002,1,30622002,1331531010,
2879,AI010,401324,41590587,377130273A,MNG244,2006-04-01,LSH022,LCD999,1, ,2800619001,
2880,AI010,401323,41590587,377130273A,MNG244,2006-04-01,LSH022,LCD999,1, ,2800619001,
2881,AI010,401322,41590587,377130273A,MNG244,2006-04-01,LSH022,LCD999,1, ,2800619001,
2882,AI010,401321,41590587,377130273A,MNG244,2006-04-01,LSH022,LCD999,1, ,2800619001,
2883,AI010,500167,41590520,377130146A,MNG244,1900-01-01,LSH000,LCD002,1,30146011,3220131002,
2884,AI010,100392,41590253,376160534D,MNG244,1900-01-01,LSH000,LCD002,1, ,1208421017,
2885,AI010,500426,41590570,377130171D,MNG244,1900-01-01,LSH007,LCD002,1,30182018,3330231002,
2886,AI010,401977,41590540,377130271C,MNG244,2006-04-01,LSH007,LCD999,1, ,9020219003,
2887,AI010,200207,41590400,376162015A,MNG244,1900-01-01,LSH007,LCD002,1, ,2005712004,
2888,AI010,401650,41590585,377130267C,MNG244,2006-04-01,LSH999,LCD999,1, ,9030319001,
2889,AI010,500731,41590530,377130609A,MNG244,1900-01-01,LSH002,LCD002,1,30609001,9015931009,
2890,AI010,99920150191,41590350,376151502D,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150665,
2891,AI010,99920150182,41590320,376160208D,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150545,
2892,AI010,99920150170,41590262,376160630D,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150593,
2893,AI010,8.89E+11,41590256,376161715D,MNG244,2010-01-01,LSH999,LCD999,1,LP1-C1-21/원추형,88617150001,
2894,AI010,401709,41590585,377130255C,MNG244,2006-04-01,LSH021,LCD003,1, ,2705619001,
2895,AI010,100674,41590570,376160587D,MNG244,1900-01-01,LSH002,LCD002,1, ,9002721010,
2896,AI010,100799,41590570,376160577C,MNG244,1900-01-01,LSH002,LCD002,1, ,9002721002,
2897,AI010,100132,41590253,376160977B,MNG244,1900-01-01,LSH002,LCD002,1, ,9003511004,
2898,AI010,500565,41590520,377130178D,MNG244,1900-01-01,LSH000,LCD002,1,30189045,2703531001,
2899,AI010,99920150201,41590340,376151005C,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150649,
2900,AI010,99920150204,41590340,376150586C,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150649,
2901,AI010,99920150205,41590340,376150586C,MNG244,1990-01-01,LSH000,LCD000,1, ,99920150649,
2902,AI010,200251,41590400,376161939B,MNG244,1900-01-01,LSH999,LCD002,1, ,1104312005,
2903,AI010,100360,41590253,376160522C,MNG244,1900-01-01,LSH007,LCD002,1, ,9006621002,
2904,AI010,100650,41590410,376161097A,MNG244,1996-01-01,LSH002,LCD002,1, ,1331511004,
2905,AI010,200247,41590400,376161939B,MNG244,1900-01-01,LSH002,LCD002,1, ,1104312005,
2906,AI010,100084,41590253,376160939A,MNG244,1900-01-01,LSH007,LCD002,1, ,9004211002,
2907,AI010,401822,41590585,377130274C,MNG244,2006-04-01,LSH022,LCD999,1, ,2702019001,
2908,AI010,401238,41590585,377130293C,MNG244,2006-04-01,LSH022,LCD999,1, ,2804819003,
2909,AI010,401232,41590585,377130293C,MNG244,2006-04-01,LSH022,LCD999,1, ,2804819001,
2910,AI010,200091,41590259,376161432D,MNG244,1900-01-01,LSH007,LCD002,1, ,2700112006,
2911,AI010,100542,41590410,376161087C,MNG244,1996-01-01,LSH007,LCD002,1, ,1331511007,
2912,AI010,401795,41590585,377130274D,MNG244,2006-04-01,LSH022,LCD999,1, ,2702019001,
2913,AI010,500769,41590570,377130611B,MNG244,1900-01-01,LSH007,LCD002,1,30612003,9012631015,
